"date","adjusted","symbol"
2020-01-02,300.35,"AAPL"
2020-01-03,297.43,"AAPL"
2020-01-06,299.8,"AAPL"
2020-01-07,298.39,"AAPL"
2020-01-08,303.19,"AAPL"
2020-01-09,309.63,"AAPL"
2020-01-10,310.33,"AAPL"
2020-01-13,316.96,"AAPL"
2020-01-14,312.68,"AAPL"
2020-01-15,311.34,"AAPL"
2020-01-16,315.24,"AAPL"
2020-01-17,318.73,"AAPL"
2020-01-21,316.57,"AAPL"
2020-01-22,317.7,"AAPL"
2020-01-23,319.23,"AAPL"
2020-01-24,318.31,"AAPL"
2020-01-27,308.95,"AAPL"
2020-01-28,317.69,"AAPL"
2020-01-29,324.34,"AAPL"
2020-01-30,323.87,"AAPL"
2020-01-31,309.51,"AAPL"
2020-02-03,308.66,"AAPL"
2020-02-04,318.85,"AAPL"
2020-02-05,321.45,"AAPL"
2020-02-06,325.21,"AAPL"
2020-02-07,320.03,"AAPL"
2020-02-10,321.55,"AAPL"
2020-02-11,319.61,"AAPL"
2020-02-12,327.2,"AAPL"
2020-02-13,324.87,"AAPL"
2020-02-14,324.95,"AAPL"
2020-02-18,319,"AAPL"
2020-02-19,323.62,"AAPL"
2020-02-20,320.3,"AAPL"
2020-02-21,313.05,"AAPL"
2020-02-24,298.18,"AAPL"
2020-02-25,288.08,"AAPL"
2020-02-26,292.65,"AAPL"
2020-02-27,273.52,"AAPL"
2020-02-28,273.36,"AAPL"
2020-03-02,298.81,"AAPL"
2020-03-03,289.32,"AAPL"
2020-03-04,302.74,"AAPL"
2020-03-05,292.92,"AAPL"
2020-03-06,289.03,"AAPL"
2020-03-09,266.17,"AAPL"
2020-03-10,285.34,"AAPL"
2020-03-11,275.43,"AAPL"
2020-03-12,248.23,"AAPL"
2020-03-13,277.97,"AAPL"
2020-03-16,242.21,"AAPL"
2020-03-17,252.86,"AAPL"
2020-03-18,246.67,"AAPL"
2020-03-19,244.78,"AAPL"
2020-03-20,229.24,"AAPL"
2020-03-23,224.37,"AAPL"
2020-03-24,246.88,"AAPL"
2020-03-25,245.52,"AAPL"
2020-03-26,258.44,"AAPL"
2020-03-27,247.74,"AAPL"
2020-03-30,254.81,"AAPL"
2020-03-31,254.29,"AAPL"
2020-04-01,240.91,"AAPL"
2020-04-02,244.93,"AAPL"
2020-04-03,241.41,"AAPL"
2020-04-06,262.47,"AAPL"
2020-04-07,259.43,"AAPL"
2020-04-08,266.07,"AAPL"
2020-04-09,267.99,"AAPL"
2020-04-13,273.25,"AAPL"
2020-04-14,287.05,"AAPL"
2020-04-15,284.43,"AAPL"
2020-04-16,286.69,"AAPL"
2020-04-17,282.8,"AAPL"
2020-04-20,276.93,"AAPL"
2020-04-21,268.37,"AAPL"
2020-04-22,276.1,"AAPL"
2020-04-23,275.03,"AAPL"
2020-04-24,282.97,"AAPL"
2020-04-27,283.17,"AAPL"
2020-04-28,278.58,"AAPL"
2020-04-29,287.73,"AAPL"
2020-04-30,293.8,"AAPL"
2020-05-01,289.07,"AAPL"
2020-05-04,293.16,"AAPL"
2020-05-05,297.56,"AAPL"
2020-05-06,300.63,"AAPL"
2020-05-07,303.74,"AAPL"
2020-05-08,310.13,"AAPL"
2020-05-11,315.01,"AAPL"
2020-05-12,311.41,"AAPL"
2020-05-13,307.65,"AAPL"
2020-05-14,309.54,"AAPL"
2020-05-15,307.71,"AAPL"
2020-05-18,314.96,"AAPL"
2020-05-19,313.14,"AAPL"
2020-05-20,319.23,"AAPL"
2020-05-21,316.85,"AAPL"
2020-05-22,318.89,"AAPL"
2020-05-26,316.73,"AAPL"
2020-05-27,318.11,"AAPL"
2020-05-28,318.25,"AAPL"
2020-05-29,317.94,"AAPL"
2020-06-01,321.85,"AAPL"
2020-06-02,323.34,"AAPL"
2020-06-03,325.12,"AAPL"
2020-06-04,322.32,"AAPL"
2020-06-05,331.5,"AAPL"
2020-06-08,333.46,"AAPL"
2020-06-09,343.99,"AAPL"
2020-06-10,352.84,"AAPL"
2020-06-11,335.9,"AAPL"
2020-06-12,338.8,"AAPL"
2020-06-15,342.99,"AAPL"
2020-06-16,352.08,"AAPL"
2020-06-17,351.59,"AAPL"
2020-06-18,351.73,"AAPL"
2020-06-19,349.72,"AAPL"
2020-06-22,358.87,"AAPL"
2020-06-23,366.53,"AAPL"
2020-06-24,360.06,"AAPL"
2020-06-25,364.84,"AAPL"
2020-06-26,353.63,"AAPL"
2020-06-29,361.78,"AAPL"
2020-06-30,364.8,"AAPL"
2020-07-01,364.11,"AAPL"
2020-07-02,364.11,"AAPL"
2020-07-06,373.85,"AAPL"
2020-07-07,372.69,"AAPL"
2020-07-08,381.37,"AAPL"
2020-07-09,383.01,"AAPL"
2020-07-10,383.68,"AAPL"
2020-07-13,381.91,"AAPL"
2020-07-14,388.23,"AAPL"
2020-07-15,390.9,"AAPL"
2020-07-16,386.09,"AAPL"
2020-07-17,385.31,"AAPL"
2020-07-20,393.43,"AAPL"
2020-07-21,388,"AAPL"
2020-07-22,389.09,"AAPL"
2020-07-23,371.38,"AAPL"
2020-07-24,370.46,"AAPL"
2020-07-27,379.24,"AAPL"
2020-07-28,373.01,"AAPL"
2020-07-29,380.16,"AAPL"
2020-07-30,384.76,"AAPL"
2020-07-31,425.04,"AAPL"
2020-08-03,435.75,"AAPL"
2020-08-04,438.66,"AAPL"
2020-08-05,440.25,"AAPL"
2020-08-06,455.61,"AAPL"
2020-08-07,444.45,"AAPL"
2020-08-10,450.91,"AAPL"
2020-08-11,437.5,"AAPL"
2020-08-12,452.04,"AAPL"
2020-08-13,460.04,"AAPL"
2020-08-14,459.63,"AAPL"
2020-08-17,458.43,"AAPL"
2020-08-18,462.25,"AAPL"
2020-08-19,462.83,"AAPL"
2020-08-20,473.1,"AAPL"
2020-08-21,497.48,"AAPL"
2020-08-24,503.43,"AAPL"
2020-08-25,499.3,"AAPL"
2020-08-26,506.09,"AAPL"
2020-08-27,500.04,"AAPL"
2020-08-28,499.23,"AAPL"
2020-08-31,129.04,"AAPL"
2020-09-01,134.18,"AAPL"
2020-09-02,131.4,"AAPL"
2020-09-03,120.88,"AAPL"
2020-09-04,120.96,"AAPL"
2020-09-08,112.82,"AAPL"
2020-09-09,117.32,"AAPL"
2020-09-10,113.49,"AAPL"
2020-09-11,112,"AAPL"
2020-09-14,115.355,"AAPL"
2020-09-15,115.54,"AAPL"
2020-09-16,112.13,"AAPL"
2020-09-17,110.34,"AAPL"
2020-09-18,106.84,"AAPL"
2020-09-21,110.08,"AAPL"
2020-09-22,111.81,"AAPL"
2020-09-23,107.12,"AAPL"
2020-09-24,108.22,"AAPL"
2020-09-25,112.28,"AAPL"
2020-09-28,114.96,"AAPL"
2020-09-29,114.09,"AAPL"
2020-09-30,115.81,"AAPL"
2020-10-01,116.79,"AAPL"
2020-10-02,113.02,"AAPL"
2020-10-05,116.5,"AAPL"
2020-10-06,113.16,"AAPL"
2020-10-07,115.08,"AAPL"
2020-10-08,114.97,"AAPL"
2020-10-09,116.97,"AAPL"
2020-10-12,124.4,"AAPL"
2020-10-13,121.1,"AAPL"
2020-10-14,121.19,"AAPL"
2020-10-15,120.71,"AAPL"
2020-10-16,119.02,"AAPL"
2020-10-19,115.98,"AAPL"
2020-10-20,117.51,"AAPL"
2020-10-21,116.87,"AAPL"
2020-10-22,115.75,"AAPL"
2020-10-23,115.04,"AAPL"
2020-10-26,115.05,"AAPL"
2020-10-27,116.6,"AAPL"
2020-10-28,111.2,"AAPL"
2020-10-29,115.32,"AAPL"
2020-10-30,108.86,"AAPL"
